pays,evo_pop_%,ratio_prot_viande_%,qt_kcal/h,qt_prot_gr/h,qt_volaille_Kg/h,PIBh_$,groupe
Vanuatu,7.12965,20.64,2836.0,69.68,11.851055929083284,3167.3430559177086,3
Nouvelle-Zelande,3.3744400000000003,35.36,3137.0,92.54,34.97488780919295,42949.32684170219,2
Nicaragua,3.62555,14.22,2638.0,69.62,21.6961804799296,1847.198048685679,3
Niger,12.18097,8.5,2547.0,80.94,1.0311308162019088,416.140115178331,1
Nigeria,8.35615,5.43,2700.0,63.76,1.751738468030683,2996.964303198293,1
Norvege,3.91379,21.97,3485.0,110.9,20.8780561978184,103059.24822758982,2
Pakistan,6.5387,8.870000000000003,2440.0,65.49,5.013411425883826,1272.4410610006348,1
Panama,5.35899,27.52,2733.0,79.44,41.422840710680475,11879.756527484185,3
Tchequie (la),0.55233,25.22,3256.0,87.47,19.255308495055115,19916.019387372155,4
Paraguay,4.12026,26.65,2589.0,70.72,6.650437536925393,5967.656871909628,3
Perou,4.0583,14.64,2700.0,74.92,40.27388071000856,6583.116248463106,6
Philippines,5.07263,19.02,2570.0,59.93,11.890614631252037,2760.2891460731084,3
Pologne,-0.0364,27.59,3451.0,101.47,28.400302578076627,13780.190606988146,4
Portugal,-1.17014,28.04,3477.0,110.88,31.250967687639264,21618.735338966253,4
Guinee-Bissau,8.07357,12.83,2292.0,44.04,1.7841266254136945,621.9406736179312,1
Timor-Leste,6.73897,24.32,2131.0,57.52,5.910335149776336,4770.3159327437625,1
Zimbabwe,6.87326,14.42,2110.0,48.35,4.649770640099383,1268.126632650716,1
Roumanie,-1.82064,15.98,3358.0,103.02,16.643245700000712,9555.244217331403,4
Rwanda,7.98596,5.54,2228.0,56.81,1.4459811709754344,688.8223493473565,1
Federation de Russie,0.30971,24.38,3361.0,102.84,27.556241857868706,16007.089993444399,4
Saint-Kitts-et-Nevis,3.35115,36.62000000000001,2492.0,72.32,75.23180800842596,15977.283829131844,6
Sainte-Lucie,1.7846799999999998,38.33,2595.0,85.71,74.00660366617329,8367.276219633044,6
Saint-Vincent-et-les Grenadines,0.00457,36.63,2968.0,86.23,73.17965605561653,6597.228304293612,6
Sao Tome-et-Principe,7.019839999999999,9.68,2400.0,53.08,5.346307038413216,1619.5285168612595,1
Arabie saoudite,9.18409,25.130000000000006,3255.0,91.63,47.220729459416816,24934.386142316645,6
Senegal,9.32231,10.16,2456.0,58.49,4.6032951094592764,1342.7586890005252,1
Sierra Leone,7.1741600000000005,6.73,2404.0,56.13,4.333958049308596,710.8186998434132,1
Slovenie,1.02441,24.52,3168.0,96.19,24.19996137686164,23357.939198651973,4
Slovaquie,0.38555,21.96,2944.0,72.51,15.852154694910535,18191.612786162987,4
Afrique du Sud,4.23136,29.49,3022.0,85.33,36.84388955715839,6819.06230244075,6
Espagne,-0.19466,29.81,3174.0,104.88,29.102167301999746,29211.773745593506,4
Suriname,3.1242900000000002,26.72,2753.0,62.94,53.452280016219994,9491.570453447664,6
Tadjikistan,7.01655,22.89,2201.0,63.38,2.5679249784386013,1040.1374116549334,1
Eswatini,5.70424,17.41,2329.0,58.6,6.29199909395213,3587.000316109629,1
Suede,2.39696,27.950000000000006,3179.0,107.72,18.408263459066625,60283.24522267,2
Suisse,3.83943,25.46,3391.0,93.08,16.230823957778217,85112.46439841411,2
Turkmenistan,5.48566,23.98,2840.0,90.49,3.913327619875008,7304.420524629854,3
Republique-Unie de Tanzanie,9.84413,6.710000000000001,2208.0,57.8,1.7971192573276304,903.361862058071,1
Thailande,1.39008,15.509999999999998,2784.0,60.88,13.867882226900125,6168.39488117145,3
Togo,8.30386,7.21,2454.0,59.79,6.38936990589736,613.4402093767171,1
Trinite-et-Tobago,1.51705,28.87,3052.0,83.36,67.4950009197121,19713.37928801306,6
Oman,22.02958,25.12,3143.0,88.25,30.715501439991204,21227.2123496242,5
Tunisie,3.52095,11.56,3349.0,98.59,18.520942919361808,4199.0846781572245,4
Turquie,4.78441,12.3,3706.0,108.12,18.565107707379013,12542.720926472348,4
Emirats arabes unis,8.89381,19.71,3280.0,104.62,41.63769145982079,43315.141492165334,6
Ouganda,10.72852,8.43,2130.0,52.68,1.5178254216372564,655.0495315358435,1
Royaume-Uni,2.1076200000000003,28.38,3424.0,103.21,32.34783561111497,42724.0678844007,2
Ukraine,-1.47779,20.68,3138.0,88.62,24.359545112647385,4029.7155037213106,4
Etats-Unis d'Amerique,2.23408,34.84,3682.0,109.6,51.024179515664294,52782.086508871005,2
Burkina Faso,9.403939999999999,5.58,2720.0,79.38,2.2257726550123262,699.7815370164793,1
Uruguay,0.9954299999999999,28.2,3050.0,92.44,29.049253155438446,16881.205676315054,6
Ouzbekistan,4.9410099999999995,16.71,2760.0,83.43,1.7988167383495135,1907.5512333556146,3
Venezuela (Republique bolivarienne du),4.44334,32.95,2631.0,73.01,39.38274246905651,12237.193741012428,3
Viet Nam,3.4193800000000003,21.26,2745.0,81.61,12.3828215400984,1871.3254905231895,3
Ethiopie,8.19251,4.67,2131.0,60.4,0.6534038059549201,502.15358873207117,1
Samoa,2.44462,40.17,2960.0,85.53,73.39180213570144,4219.024861668105,6
Yemen,8.343119999999999,12.96,2223.0,58.94,10.24384976072791,1580.1816006295453,1
Zambie,9.4092,9.25,1930.0,55.22,3.167645667155672,1850.7933594391934,1
Belgique,1.94513,21.53,3733.0,99.59,12.823373189214164,46582.66955034117,2
Luxembourg,7.2519800000000005,29.24,3539.0,113.88,20.19382399430167,113625.13289955995,2
Serbie,-1.2126700000000001,21.78,2728.0,82.22,11.32259704502638,6353.826382793315,4
Montenegro,0.44995,22.43,3491.0,112.07,15.946572603150404,7186.431924061808,4
Soudan,8.040493413797044,15.13,2336.0,70.71,1.3025809175477676,1955.66079918474,1
